The Short Stories of Ernest Hemingway,Ernest Hemingway,4.26,Fiction,http://books.google.com/books/content?id=Len1AAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Screwtape Letters ; With  Screwtape Proposes a Toast,Clive Staples Lewis,4.22,Christianity,
Reason in History,Georg Wilhelm Friedrich Hegel,3.64,Philosophy,http://books.google.com/books/content?id=BCvcYQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Elements of Style,William Strunk,4.2,Language arts & disciplines,http://books.google.com/books/content?id=ADaMf2tEB7sC&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Presocratics,Philip Wheelwright,4.04,Philosophy,http://books.google.com/books/content?id=V45eMgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Spandau,Albert Speer,4.12,History,
The Rumble Seat Pony,Clarence William Anderson,4.17,Animals,
The Journey with Grandmother,Edith Unnerstad,3.75,Grandmothers,
Tyranny of the Majority,Lani Guinier,3.82,History,http://books.google.com/books/content?id=aRF7XdcCLq0C&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Origins of the Civil Rights Movement,Aldon D. Morris,4.04,History,http://books.google.com/books/content?id=7vyHY9DWcu8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Presidential Power and the Modern Presidents,Richard E. Neustadt,3.79,History,http://books.google.com/books/content?id=elGozulX_o8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Rest  Rabbit  Rest,Jacquelyn Reinach,4.01,Juvenile fiction,http://books.google.com/books/content?id=8-40_Zrp5voC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Where the Red Fern Grows,Wilson Rawls,4.37,Juvenile fiction,http://books.google.com/books/content?id=IHpRwgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Poppy's Return,Avi,3.99,Juvenile fiction,http://books.google.com/books/content?id=XbcMJQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Diary of a Spider,Doreen Cronin,4.25,Juvenile fiction,http://books.google.com/books/content?id=UWvZo2pIhzMC&printsec=frontcover&img=1&zoom=1&source=gbs_api
An Old-Fashioned Thanksgiving,Louisa May Alcott,3.7,Juvenile fiction,http://books.google.com/books/content?id=SKYr4V6C1M0C&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Paradox of Choice,Barry Schwartz,3.84,Business & economics,
How to Read Literature Like a Professor,Thomas C. Foster,3.65,Literary criticism,http://books.google.com/books/content?id=irkUlwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Amazing Maurice and His Educated Rodents,Terry Pratchett,4.05,Juvenile fiction,http://books.google.com/books/content?id=1Z8KJQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Wee Free Men,Terry Pratchett,4.27,Juvenile fiction,http://books.google.com/books/content?id=8PLblgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
